id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
44929003,2020/05/04 12:00 PM AEST,2020-05-04,2020-05-04 02:00:00 UTC,Sydney,44169,scott1e2310,2020-05-04 23:35:45 UTC,2022-01-20 05:54:19 UTC,research,,https://www.inaturalist.org/observations/44929003,https://static.inaturalist.org/photos/71226328/medium.jpg,,"",Parasite on the right side,3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.5096111117,138.215694445,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44929004,2020/05/04 12:55 PM AEST,2020-05-04,2020-05-04 02:55:00 UTC,Sydney,44169,scott1e2310,2020-05-04 23:35:45 UTC,2022-01-20 05:54:20 UTC,research,,https://www.inaturalist.org/observations/44929004,https://static.inaturalist.org/photos/71226339/medium.jpg,,"",Juvenile small,3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.50975,138.2155277783,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
44929005,2020/05/04 12:13 PM AEST,2020-05-04,2020-05-04 02:13:00 UTC,Sydney,44169,scott1e2310,2020-05-04 23:35:45 UTC,2022-01-20 05:54:21 UTC,research,,https://www.inaturalist.org/observations/44929005,https://static.inaturalist.org/photos/71226355/medium.jpg,,"",Adult,3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.5095277783,138.215555555,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53117575,2020/07/12 11:20 AM AEST,2020-07-12,2020-07-12 01:20:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:25:09 UTC,2022-01-20 05:50:36 UTC,research,,https://www.inaturalist.org/observations/53117575,https://static.inaturalist.org/photos/84468341/medium.jpg,,Leafy Seadragon,Right Side,2,0,false,,,,,,"South Australia, Australia",-35.084194445,137.7495277783,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53118043,2020/07/14 2:14 PM AEST,2020-07-14,2020-07-14 04:14:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:31:40 UTC,2022-01-20 05:50:35 UTC,research,,https://www.inaturalist.org/observations/53118043,https://static.inaturalist.org/photos/84469254/medium.jpg,,Leafy Seadragon,Left Side,3,0,false,,,,,,"South Australia, Australia",-35.083944445,137.749694445,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53118549,2020/07/14 1:47 PM AEST,2020-07-14,2020-07-14 03:47:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:39:22 UTC,2022-01-20 05:50:34 UTC,research,,https://www.inaturalist.org/observations/53118549,https://static.inaturalist.org/photos/84470059/medium.jpg,,Leafy Seadragon,Right Side,2,0,false,,,,,,"South Australia, Australia",-35.084305555,137.749805555,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53119122,2020/07/13 10:45 AM AEST,2020-07-13,2020-07-13 00:45:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:48:52 UTC,2022-01-20 05:50:30 UTC,research,,https://www.inaturalist.org/observations/53119122,https://static.inaturalist.org/photos/84471423/medium.jpg,,"",Right Side,3,0,false,,,,,,"South Australia, Australia",-35.0842222217,137.7495277783,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53119310,2020/07/13 9:53 AM AEST,2020-07-13,2020-07-12 23:53:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:51:58 UTC,2022-01-20 05:50:31 UTC,research,,https://www.inaturalist.org/observations/53119310,https://static.inaturalist.org/photos/84471824/medium.jpg,,Leafy Seadragon,Right Side,3,0,false,,,,,,"South Australia, Australia",-35.084444445,137.7496388883,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53119474,2020/07/12 11:30 AM AEST,2020-07-12,2020-07-12 01:30:00 UTC,Sydney,44169,scott1e2310,2020-07-15 02:54:49 UTC,2022-01-20 05:50:31 UTC,research,,https://www.inaturalist.org/observations/53119474,https://static.inaturalist.org/photos/84472218/medium.jpg,,"",Left Side,3,0,false,,,,,,"South Australia, Australia",-35.0842222217,137.7495277783,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
53120311,2020/07/11 1:31 PM AEST,2020-07-11,2020-07-11 03:31:00 UTC,Sydney,44169,scott1e2310,2020-07-15 03:08:23 UTC,2022-01-20 05:49:59 UTC,research,,https://www.inaturalist.org/observations/53120311,https://static.inaturalist.org/photos/84473815/medium.jpg,,Leafy Seadragon,Left Side,3,0,false,,,,,,"South Australia, Australia",-35.084309,137.749729,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
57202855,2020/08/21 3:18 PM AEST,2020-08-21,2020-08-21 05:18:00 UTC,Sydney,44169,scott1e2310,2020-08-22 10:28:17 UTC,2022-01-20 05:50:07 UTC,research,,https://www.inaturalist.org/observations/57202855,https://static.inaturalist.org/photos/91224357/medium.jpg,,"",Left Side,3,0,false,,,,,,"Esperance, WA, Australia",-33.9946388883,122.2239722217,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
57817091,2020/08/25 2:50 PM AEST,2020-08-25,2020-08-25 04:50:00 UTC,Sydney,44169,scott1e2310,2020-08-28 11:01:02 UTC,2022-01-20 05:50:07 UTC,research,,https://www.inaturalist.org/observations/57817091,https://static.inaturalist.org/photos/92256096/medium.jpg,,"",Left Side,2,0,false,,,,,,"Esperance, WA, Australia",-33.9959166667,122.2234166667,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
57817093,2020/08/25 2:29 PM AEST,2020-08-25,2020-08-25 04:29:00 UTC,Sydney,44169,scott1e2310,2020-08-28 11:01:03 UTC,2022-01-20 05:50:08 UTC,research,,https://www.inaturalist.org/observations/57817093,https://static.inaturalist.org/photos/92256107/medium.jpg,,"",Left Side,2,0,false,,,,,,"Esperance, WA, Australia",-33.9959166667,122.2234166667,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980014,2021/02/14 12:37 PM AEDT,2021-02-14,2021-02-14 01:37:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:10:37 UTC,2022-01-20 05:48:24 UTC,research,,https://www.inaturalist.org/observations/69980014,https://static.inaturalist.org/photos/113677495/medium.jpg,,"","",2,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980038,2021/02/14 12:32 PM AEDT,2021-02-14,2021-02-14 01:32:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:12:23 UTC,2022-01-20 05:48:25 UTC,research,,https://www.inaturalist.org/observations/69980038,https://static.inaturalist.org/photos/113677546/medium.jpg,,"","",2,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980143,2021/02/13 1:14 PM AEDT,2021-02-13,2021-02-13 02:14:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:18:03 UTC,2022-01-20 05:48:28 UTC,research,,https://www.inaturalist.org/observations/69980143,https://static.inaturalist.org/photos/113677728/medium.jpg,,"","",3,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980165,2021/02/13 1:07 PM AEDT,2021-02-13,2021-02-13 02:07:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:19:31 UTC,2022-01-20 05:48:28 UTC,research,,https://www.inaturalist.org/observations/69980165,https://static.inaturalist.org/photos/113677798/medium.jpg,,"","",2,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980201,2021/02/13 1:00 PM AEDT,2021-02-13,2021-02-13 02:00:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:21:04 UTC,2022-01-20 05:48:27 UTC,research,,https://www.inaturalist.org/observations/69980201,https://static.inaturalist.org/photos/113677870/medium.jpg,,"","",3,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
69980220,2021/02/13 12:25 PM AEDT,2021-02-13,2021-02-13 01:25:00 UTC,Sydney,44169,scott1e2310,2021-02-22 11:22:32 UTC,2022-01-20 05:48:27 UTC,research,,https://www.inaturalist.org/observations/69980220,https://static.inaturalist.org/photos/113677953/medium.jpg,,"","",3,0,false,,,,,,"Esperance, WA, Australia",-33.9930277783,122.223305555,28902,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
86368924,2021/06/06 9:09 AM AEST,2021-06-06,2021-06-05 23:09:00 UTC,Sydney,44169,scott1e2310,2021-07-10 04:54:51 UTC,2022-01-20 05:45:27 UTC,research,,https://www.inaturalist.org/observations/86368924,https://static.inaturalist.org/photos/142274125/medium.jpeg,,"",Right Side,3,0,false,,,,,41,"5-7 Edith St, Edithburgh SA 5583, Australia",-35.0836016064,137.7495287503,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
86369066,2021/06/06 9:25 AM AEST,2021-06-06,2021-06-05 23:25:00 UTC,Sydney,44169,scott1e2310,2021-07-10 04:56:50 UTC,2022-01-20 05:45:26 UTC,research,,https://www.inaturalist.org/observations/86369066,https://static.inaturalist.org/photos/142275164/medium.jpeg,,"","this one has a unique marking, I have seen it on a number of occasions in the past year",3,0,false,,,,,49,"5-7 Edith St, Edithburgh SA 5583, Australia",-35.0834611333,137.7498506153,28734,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
86978529,2015/06/07 12:37 PM AEST,2015-06-07,2015-06-07 02:37:00 UTC,Sydney,44169,scott1e2310,2021-07-14 13:31:38 UTC,2022-01-20 05:45:25 UTC,research,,https://www.inaturalist.org/observations/86978529,https://static.inaturalist.org/photos/143380470/medium.jpeg,,"",,3,0,false,,,,,8,,-34.3775219547,136.1050912925,28846,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
86978530,2015/06/06 3:41 PM AEST,2015-06-06,2015-06-06 05:41:00 UTC,Sydney,44169,scott1e2310,2021-07-14 13:31:38 UTC,2022-01-20 05:45:28 UTC,research,,https://www.inaturalist.org/observations/86978530,https://static.inaturalist.org/photos/143380573/medium.jpeg,,"",,3,0,false,,,,,1,,-34.3774972509,136.105038319,28846,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
86978532,2015/06/06 12:46 PM AEST,2015-06-06,2015-06-06 02:46:00 UTC,Sydney,44169,scott1e2310,2021-07-14 13:31:39 UTC,2022-01-20 05:45:29 UTC,research,,https://www.inaturalist.org/observations/86978532,https://static.inaturalist.org/photos/143380712/medium.jpeg,,"","",3,0,false,,,,,8,,-34.3774821077,136.1053863355,28846,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
87102253,2015/02/21 3:42 PM AEDT,2015-02-21,2015-02-21 04:42:00 UTC,Sydney,44169,scott1e2310,2021-07-15 09:58:55 UTC,2022-01-20 05:45:29 UTC,research,,https://www.inaturalist.org/observations/87102253,https://static.inaturalist.org/photos/143584533/medium.jpeg,,"",,2,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.52125,138.185694445,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
87102254,2015/02/21 2:27 PM AEDT,2015-02-21,2015-02-21 03:27:00 UTC,Sydney,44169,scott1e2310,2021-07-15 09:58:55 UTC,2022-01-20 05:45:30 UTC,research,,https://www.inaturalist.org/observations/87102254,https://static.inaturalist.org/photos/143584541/medium.jpeg,,"",Juvenile,2,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.520055555,138.1852777783,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
87102256,2015/02/21 11:29 AM AEDT,2015-02-21,2015-02-21 00:29:00 UTC,Sydney,44169,scott1e2310,2021-07-15 09:58:55 UTC,2022-01-20 05:45:30 UTC,research,,https://www.inaturalist.org/observations/87102256,https://static.inaturalist.org/photos/143584553/medium.jpeg,,"",Juvenile,2,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5210833333,138.185555555,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171877,2021/12/20 8:52 AM AEDT,2021-12-20,2021-12-19 21:52:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:24 UTC,2022-01-20 05:42:36 UTC,research,,https://www.inaturalist.org/observations/104171877,https://static.inaturalist.org/photos/174527419/medium.jpeg,,"",Right side image only,3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.6556111117,137.6453888883,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171878,2021/12/16 9:06 AM AEDT,2021-12-16,2021-12-15 22:06:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:24 UTC,2022-01-20 05:42:37 UTC,research,,https://www.inaturalist.org/observations/104171878,https://static.inaturalist.org/photos/174527424/medium.jpeg,,"","",3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.655555555,137.6454166667,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171879,2021/12/16 8:43 AM AEDT,2021-12-16,2021-12-15 21:43:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:24 UTC,2022-01-20 05:42:37 UTC,research,,https://www.inaturalist.org/observations/104171879,https://static.inaturalist.org/photos/174527428/medium.jpeg,,"",missing appendage from head,3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.6556111117,137.645305555,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171880,2021/12/11 4:11 PM AEDT,2021-12-11,2021-12-11 05:11:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:25 UTC,2022-01-20 05:42:40 UTC,research,,https://www.inaturalist.org/observations/104171880,https://static.inaturalist.org/photos/174527432/medium.jpeg,,"",right side image only,3,0,false,,,,,,"Yankalilla, South Australia, Australia",-35.5098611117,138.2156111117,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171881,2021/12/20 9:30 AM AEDT,2021-12-20,2021-12-19 22:30:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:25 UTC,2022-01-20 05:42:40 UTC,research,,https://www.inaturalist.org/observations/104171881,https://static.inaturalist.org/photos/174527442/medium.jpeg,,"","",3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.655555555,137.645305555,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171882,2021/12/10 3:47 PM AEDT,2021-12-10,2021-12-10 04:47:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:25 UTC,2022-01-20 05:42:39 UTC,research,,https://www.inaturalist.org/observations/104171882,https://static.inaturalist.org/photos/174527437/medium.jpeg,,"","",3,0,false,,,,,,"Second Valley SA 5204, Australia",-35.5098611117,138.2156111117,28677,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104171884,2021/12/20 8:54 AM AEDT,2021-12-20,2021-12-19 21:54:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:01:26 UTC,2022-01-20 05:42:39 UTC,research,,https://www.inaturalist.org/observations/104171884,https://static.inaturalist.org/photos/174527449/medium.jpeg,,"",missing appendage from head,3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.6556111117,137.6453333333,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104172307,2021/12/21 1:34 PM AEDT,2021-12-21,2021-12-21 02:34:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:13:51 UTC,2022-01-20 05:42:38 UTC,research,,https://www.inaturalist.org/observations/104172307,https://static.inaturalist.org/photos/174528309/medium.jpeg,,"",parasite on right hand side,3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.6557222217,137.64625,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104172308,2021/12/21 1:46 PM AEDT,2021-12-21,2021-12-21 02:46:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:13:51 UTC,2022-01-20 05:42:41 UTC,research,,https://www.inaturalist.org/observations/104172308,https://static.inaturalist.org/photos/174528314/medium.jpeg,,"","",3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.655555555,137.6454166667,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
104172456,2021/12/21 1:02 PM AEDT,2021-12-21,2021-12-21 02:02:00 UTC,Sydney,44169,scott1e2310,2022-01-02 10:16:42 UTC,2022-01-20 05:42:42 UTC,research,,https://www.inaturalist.org/observations/104172456,https://static.inaturalist.org/photos/174528535/medium.jpeg,,"",left side image only,3,0,false,,,,,,"Kangaroo Island, South Australia, Australia",-35.655555555,137.6454166667,28649,private,obscured,true,,,,,,,,,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
